suburb_name,state_id
Lower Boro,2
Oallen,2
Braidwood,2
Majors Creek (NSW),2
Araluen (NSW),2
Berlang,2
Monga,2
Neringla,2
Northangera,2
Reidsdale,2
Kindervale,2
Jerrabattgulla,2
Bendoura,2
Bombay,2
Harolds Cross,2
Wyanbene,2
Jinden,2
Snowball,2
Hereford Hall,2
Jembaicumbene,2
Farringdon,2
Krawarree,2
Ballalaba,2
Boro,2
Durran Durra,2
Marlowe,2
Mayfield (Queanbeyan-Palerang Regional - NSW),2
Warri,2
Larbert,2
Manar,2
Tomboye,2
Corang,2
Nerriga,2
Back Creek (Queanbeyan-Palerang Regional - NSW),2
Mongarlowe,2
Wog Wog (Queanbeyan-Palerang Regional - NSW),2
Budawang,2
Charleys Forest,2
Karabar,2
Queanbeyan,2
Crestwood,2
Queanbeyan East,2
Greenleigh,2
The Ridgeway,2
Bungendore,2
Lake George,2
Sutton (NSW),2
Carwoola,2
Forbes Creek,2
Palerang,2
Hoskinstown,2
Rossi,2
Captains Flat,2
Burra (Queanbeyan-Palerang Regional - NSW),2
The Angle,2
Clear Range,2
Williamsdale,2
Mount Fairy,2
Mulloon,2
Royalla,2
Jingera,2
Anembo,2
Tinderry,2
Yarrow,2
Primrose Valley,2
Urila,2
Tarago,2
Currawang,2
Googong,2
Wamboin,2
Bywong,2
Michelago,2
Tralee,2
Jerrabomberra,2
Environa,2
Queanbeyan West,2
Delegate,2
Bombala,2
Bungarby,2
Palarang,2
Boco,2
Jincumbilly,2
Gunningrah,2
Bukalong,2
Merriangaah,2
Cambalong,2
Holts Flat,2
Mount Cooper (NSW),2
Craigie (NSW),2
Tombong,2
Quidong,2
Mila,2
Byadbo Wilderness,2
Corrowong,2
Cathcart (NSW),2
Bibbenluke,2
Glen Allen,2
Ando,2
Creewah,2
Paddys Flat (Snowy Monaro Regional - NSW),2
Rockton,2
Coolumbooka,2
Bondi Forest,2
Lords Hill,2
Rosemeath,2
Cooma (NSW),2
Polo Flat,2
Pine Valley,2
Kosciuszko National Park,2
Old Adaminaby,2
Buckenderra,2
Braemar Bay,2
Frying Pan,2
Adaminaby,2
Tantangara,2
Nimmitabel,2
Yaouk,2
Shannons Flat,2
Bolaro,2
Carlaminda,2
Dangelong,2
Glen Fergus,2
Rock Flat,2
Middle Flat,2
Numeralla,2
Colinton (NSW),2
Bumbalong,2
Greenlands (Snowy Monaro Regional - NSW),2
Steeple Flat,2
Kybeyan,2
Countegany,2
Tuross,2
Winifred,2
Wambrook,2
Rhine Falls,2
Dairymans Plains,2
Dry Plain,2
Binjura,2
Peak View,2
Jerangle,2
Badja,2
Rose Valley (Snowy Monaro Regional - NSW),2
Bunyan,2
Chakola,2
Billilingra,2
Murrumbucca,2
Bredbo,2
Coolringdon,2
Springfield (Snowy Monaro Regional - NSW),2
Maffra (NSW),2
Myalla (NSW),2
Arable,2
Bobundara,2
The Brothers,2
Anglers Reach,2
Berridale,2
Cootralantra,2
Eucumbene,2
Snowy Plain,2
Nimmo,2
Rocky Plain (NSW),2
Middlingbank,2
Kalkite,2
Crackenback,2
Jindabyne,2
Hill Top (Snowy Monaro Regional - NSW),2
Avonside,2
East Jindabyne,2
Dalgety,2
Ingebirah,2
Grosses Plain,2
Moonbah,2
Ironmungy,2
Beloka,2
Numbla Vale,2
Jimenbuen,2
Paupong,2
Catalina,2
Batemans Bay,2
Nelligen,2
Long Beach,2
Benandarah,2
North Batemans Bay,2
Surfside,2
Maloneys Beach,2
Lilli Pilli (Eurobodalla - NSW),2
Malua Bay,2
Surf Beach (NSW),2
Denhams Beach,2
Sunshine Bay,2
Rosedale (NSW),2
Guerilla Bay,2
Batehaven,2
Bega,2
Tathra,2
Kalaru,2
Wallagoot,2
Jellat Jellat,2
Bournda,2
Black Range (NSW),2
Tarraganda,2
Chinnock,2
Reedy Swamp,2
Doctor George Mountain,2
Mogareeka,2
Kanoona,2
Frogs Hollow,2
Toothdale,2
Kingswood (Bega Valley - NSW),2
Wolumla,2
Yellow Pinch,2
South Wolumla,2
Wyndham (NSW),2
Myrtle Mountain,2
Devils Hole,2
Green Cape,2
Edrom,2
Narrabarba,2
Wonboyn,2
Nadgee,2
Timbillica,2
Kiah,2
Towamba,2
Wonboyn North,2
Pericoe,2
Burragate,2
Lochiel (NSW),2
Nethercote,2
Nullica,2
Nungatta South,2
Nungatta,2
Yambulla,2
Wog Wog (Bega Valley - NSW),2
Coolangubra,2
Candelo,2
Tantawangalo,2
Bemboka,2
Quaama,2
Cobargo,2
Dignams Creek,2
Yowrie,2
Wandella (NSW),2
Greendale (Bega Valley - NSW),2
Angledale,2
Verona,2
Mumbulla Mountain,2
Wapengo,2
Nelson (Bega Valley - NSW),2
Murrah,2
Tanja,2
Coolagolite,2
Brogo,2
Coopers Gully,2
Stony Creek (Bega Valley - NSW),2
Numbugga,2
Morans Crossing,2
Mogilla,2
Buckajo,2
Kameruka,2
Greigs Flat,2
New Buildings,2
Mount Darragh,2
Rocky Hall,2
Broulee,2
Tomakin,2
Mossy Point,2
Belowra,2
Cadgee (NSW),2
Deua,2
Wadbilliga,2
Bodalla,2
Eurobodalla,2
Wamban,2
Nerrigundah,2
Deua River Valley,2
Tinpot,2
Narooma,2
Merricumbene,2
Yankees Creek,2
